0.001,0.001,-0.007789266049445632
0.001,0.005,-0.031647674695679764
0.001,0.01,-0.06149340983546156
0.001,0.025,-0.15093608121938595
0.001,0.04,-0.24032763456032416
0.001,0.055,-0.3296541122116226
0.001,0.06999999999999999,-0.41891497700496816
0.001,0.08499999999999999,-0.508110059456777
0.001,0.09999999999999999,-0.5972395346713819
0.001,0.11499999999999999,-0.68631751130773
0.001,0.13,-0.7753040048085345
0.001,0.14500000000000002,-0.8642410639167853
0.001,0.16,-0.9531165722371214
0.001,0.175,-1.0419509437697256
0.001,0.19,-1.130717242987558
0.001,0.20500000000000002,-1.2193931387234465
0.001,0.22,-1.3080430026406336
0.001,0.235,-1.3966426890683412
0.001,0.25,-1.4851950238623963
0.001,0.265,-1.5737029200370842
0.001,0.28,-1.6621956689178934
0.001,0.295,-1.7505971217816905
0.001,0.31,-1.8390155071269942
0.001,0.325,-1.9273486387739023
0.001,0.33999999999999997,-2.015702417123001
0.001,0.355,-2.1040049656299984
0.001,0.37,-2.192279943396154
0.001,0.385,-2.2805346914677753
0.001,0.4,-2.3687648340919774
0.001,0.415,-2.456976684412735
0.001,0.43,-2.545145502067371
0.001,0.445,-2.633343739833135
0.001,0.45999999999999996,-2.7215022527583015
0.001,0.475,-2.8096193021499882
0.001,0.49,-2.897766788042714
0.001,0.505,-2.985871463398449
0.001,0.52,-3.0739574997597785
0.001,0.535,-3.1619995986366995
0.001,0.55,-3.250067105423757
0.001,0.565,-3.3380868426773027
0.001,0.58,-3.426057735346583
0.001,0.595,-3.5140461944976225
0.001,0.61,-3.6019796753437214
0.001,0.625,-3.689858759480829
0.001,0.64,-3.7777226268868906
0.001,0.655,-3.8655676621860873
0.001,0.6699999999999999,-3.953350053146335
0.001,0.6849999999999999,-4.0410626394263405
0.001,0.7,-4.1287691488401315
0.001,0.715,-4.216404052326707
0.001,0.73,-4.303982914403884
0.001,0.745,-4.391502330350949
0.001,0.76,-4.4789643014916045
0.001,0.775,-4.566361397131605
0.001,0.79,-4.653674638313859
0.001,0.8049999999999999,-4.740964270196795
0.001,0.82,-4.828161366944316
0.001,0.835,-4.915273788597545
0.001,0.85,-5.0023549364189
0.001,0.865,-5.089350936645153
0.001,0.88,-5.176271812492212
0.001,0.895,-5.263127374640588
0.001,0.9099999999999999,-5.349891734814952
0.001,0.9249999999999999,-5.436629876390222
0.001,0.94,-5.523263982882476
0.001,0.955,-5.609874598483243
0.001,0.97,-5.6964031469913445
0.001,0.985,-5.78285106463461
0.001,1.,-5.869263704341052
0.001,1.015,-5.955622689840449
0.001,1.03,-6.041930969378104
0.001,1.045,-6.128191607820245
0.001,1.06,-6.214407712546918
0.001,1.075,-6.300582394055778
0.001,1.09,-6.38671867821823
0.001,1.105,-6.472819671779208
0.001,1.1199999999999999,-6.5588880645372525
0.001,1.135,-6.644926569214453
0.001,1.15,-6.730937563689724
0.001,1.165,-6.816923342147854
0.001,1.18,-6.902885645839092
0.001,1.195,-6.988826039792495
0.001,1.21,-7.074745751501761
0.001,1.2249999999999999,-7.160645633931112
0.001,1.24,-7.246526065921277
0.001,1.255,-7.332387076396662
0.001,1.27,-7.418228455464338
0.001,1.285,-7.504049360872933
0.001,1.3,-7.58984870506578
0.001,1.315,-7.675625031861489
0.001,1.3299999999999998,-7.761394353344144
0.001,1.345,-7.847118486759445
0.001,1.3599999999999999,-7.932796360385954
0.001,1.375,-8.018459605123034
0.001,1.39,-8.104087919966732
0.001,1.405,-8.189678300681136
0.001,1.42,-8.275227606442186
0.001,1.435,-8.360732507908699
0.001,1.45,-8.446206521976267
0.001,1.4649999999999999,-8.53159619159672
0.001,1.48,-8.616965205633523
0.001,1.4949999999999999,-8.702260017282697
0.005,0.001,-0.007789611742720579
0.005,0.005,-0.031647913676099856
0.005,0.01,-0.06149388294586042
0.005,0.025,-0.15093727759804626
0.005,0.04,-0.2403295507269523
0.005,0.055,-0.3296567477890726
0.005,0.06999999999999999,-0.41891834557036634
0.005,0.08499999999999999,-0.5081141392258836
0.005,0.09999999999999999,-0.5972443379343734
0.005,0.11499999999999999,-0.6863230357012094
0.005,0.13,-0.7753102588200128
0.005,0.14500000000000002,-0.8642480446810523
0.005,0.16,-0.9531242789730231
0.005,0.175,-1.0419593266430525
0.005,0.19,-1.1307187705324182
0.005,0.20500000000000002,-1.2194030362525818
0.005,0.22,-1.308053632402478
0.005,0.235,-1.3966706069341879
0.005,0.25,-1.4852071232527644
0.005,0.265,-1.5737157569366973
0.005,0.28,-1.6622092739889847
0.005,0.295,-1.7506114356076063
0.005,0.31,-1.8390305642624885
0.005,0.325,-1.927364437022576
0.005,0.33999999999999997,-2.0157189716551613
0.005,0.355,-2.103996748908791
0.005,0.37,-2.1922979884167417
0.005,0.385,-2.2805534863928894
0.005,0.4,-2.3687843772896016
0.005,0.415,-2.456996985209708
0.005,0.43,-2.5451665489552036
0.005,0.445,-2.633365545346582
0.005,0.45999999999999996,-2.7215248202905364
0.005,0.475,-2.8096426232238025
0.005,0.49,-2.8977905283727035
0.005,0.505,-2.9858963150181164
0.005,0.52,-3.073983115215658
0.005,0.535,-3.1620259729709486
0.005,0.55,-3.250094256035062
0.005,0.565,-3.338114757883785
0.005,0.58,-3.426086413683855
0.005,0.595,-3.514075652320369
0.005,0.61,-3.6020099055893517
0.005,0.625,-3.689912458095855
0.005,0.64,-3.777777288122119
0.005,0.655,-3.8656002110300967
0.005,0.6699999999999999,-3.953383380319979
0.005,0.6849999999999999,-4.041096731176779
0.005,0.7,-4.128804023111543
