0.7,-1,1,-1,0.3,0.7014994417709552,0.5879030402499351
0.7,-1,1,0,0.3,0.8287368943412909,0.5307814344294244
0.7,-1,1,1,0.3,0.8956661701828279,0.4474931320841299
0.7,-1,2,-2,0.3,0.9936086818164884,-0.11169912286224273
0.7,-1,2,-1,0.3,0.9908345071128131,-0.13490988825568853
0.7,-1,2,0,0.3,0.9876979357246595,-0.15635941671723996
0.7,-1,2,1,0.3,0.9843307593123188,-0.1763328067978472
0.7,-1,2,2,0.3,0.9807980072432239,-0.19504061676269785
0.7,-1,3,-3,0.3,0.898723205989908,-0.43851611247256045
0.7,-1,3,-2,0.3,0.8944584650947579,-0.447150994952645
0.7,-1,3,-1,0.3,0.890220371541112,-0.4555301123023174
0.7,-1,3,0,0.3,0.8860093980747812,-0.4636672781362889
0.7,-1,3,1,0.3,0.8818259892200621,-0.47157494018440377
0.7,-1,3,2,0.3,0.8776705745988466,-0.4792643987246038
0.7,-1,3,3,0.3,0.8735435679387548,-0.48674597367726374
0.7,-1,4,-4,0.3,0.7790364482879067,-0.6269786346208595
0.7,-1,4,-3,0.3,0.7756811575722803,-0.6311249787309662
0.7,-1,4,-2,0.3,0.7723475799220686,-0.6352001363080114
0.7,-1,4,-1,0.3,0.7690354486615467,-0.6392061300585198
0.7,-1,4,0,0.3,0.7657445066585632,-0.6431448899243007
0.7,-1,4,1,0.3,0.7624745051029157,-0.6470182599665235
0.7,-1,4,2,0.3,0.7592252049417131,-0.6508280027562835
0.7,-1,4,3,0.3,0.7559963741975139,-0.6545758059029491
0.7,-1,4,4,0.3,0.752787788639661,-0.6582632840723651
0.7,-1,5,-5,0.3,0.6634751969977755,-0.7481982749015118
0.7,-1,5,-4,0.3,0.6609285402114683,-0.7504488398200668
0.7,-1,5,-3,0.3,0.6583945797453231,-0.7526729529344031
0.7,-1,5,-2,0.3,0.6558731814114602,-0.7548710928234824
0.7,-1,5,-1,0.3,0.6533642140081214,-0.7570437252111297
