0.01,0.0001,2.1785944200551593e-15,3.0605359102513697e6
0.01,0.0002,1.7078364086068403e-14,1.5619062339764668e6
0.01,0.00030000000000000003,5.6456190059151465e-14,1.063260372788439e6
0.01,0.0004,1.3101553766381521e-13,814654.3693576676
0.01,0.0005,2.5040484872594884e-13,666102.5424250087
0.01,0.0006000000000000001,4.2321591573115877e-13,567612.56956294
0.01,0.0007000000000000001,6.569822599602148e-13,497761.9371386739
0.01,0.0008,9.581774927597869e-13,445842.1031812199
0.01,0.0009000000000000001,1.3322136787044873e-12,405906.583374614
0.01,0.001,1.7834396976655575e-12,374390.226333719
0.01,0.0011,2.3151395234816735e-12,349027.1150588494
0.01,0.0012000000000000001,2.9295306731307696e-12,328309.54785268055
0.01,0.0013000000000000002,3.6277624760589787e-12,311196.78744680644
0.01,0.0014000000000000002,4.4099143696982746e-12,296948.68216386385
0.01,0.0015,5.274994180980882e-12,285025.90151338093
0.01,0.0016,6.220936637454966e-12,275027.64933682873
0.01,0.0017000000000000001,7.244601535037599e-12,266651.4514802126
0.01,0.0018000000000000002,8.34177194468759e-12,259666.43782219023
0.01,0.0019000000000000002,9.50715251777157e-12,253895.1682314731
0.01,0.002,1.0734368201553857e-11,249201.03373836796
0.01,0.0021,1.20159617133753e-11,245479.4228629115
0.01,0.0022,1.3343392726498689e-11,242651.45710629906
0.01,0.0023,1.4707035367831277e-11,240659.5944956101
0.01,0.0024,1.609617690135891e-11,239464.58395494224
0.01,0.0025,1.7499015614223097e-11,239043.48060085304
0.01,0.0026,1.8902659916860036e-11,239388.51228626154
0.01,0.0027,2.029312561396812e-11,240506.71436005997
0.01,0.0028,2.1655334232713656e-11,242420.27680138336
0.01,0.0029,2.2973112306157968e-11,245167.64016468677
0.01,0.003,2.422918815148638e-11,248805.46270474326
0.01,0.0031,2.5405191102893412e-11,253411.6207056341
0.01,0.0032,2.648164929842092e-11,259089.5727116904
0.01,0.0033,2.7437987515719155e-11,265974.5576311062
0.01,0.0034,2.8252527069219334e-11,274242.35546977085
0.01,0.0035,2.8902481597961894e-11,284121.78799494554
0.01,0.0036,2.9363956498218236e-11,295912.7374596471
0.01,0.0037,2.961194807577214e-11,310012.6456279524
0.01,0.0038,2.962033955921252e-11,326956.4218845461
0.01,0.0039,2.9361900390331074e-11,347478.22431339044
0.01,0.004,2.8808285560438676e-11,372610.4254658011
0.01,0.0041,2.7930031405260965e-11,403848.686502018
0.01,0.004200000000000001,2.6696555324888486e-11,443440.9040083197
0.01,0.004300000000000001,2.5076153286028268e-11,494923.9414588759
0.01,0.0044,2.303599925973567e-11,564197.1631944646
0.01,0.0045000000000000005,2.0542140998224223e-11,661884.353652743
0.01,0.004600000000000001,1.7559500068177888e-11,809238.5434389503
0.01,0.0047,1.4051869593382815e-11,1.055856649461816e6
0.01,0.0048000000000000004,9.981911643471631e-12,1.5505382107958242e6
0.01,0.004900000000000001,5.311156640712584e-12,3.0372965582085145e6
0.01,0.0051,-5.9922988875244515e-12,2.917239380043394e6
0.01,0.005200000000000001,-1.2707618752451483e-11,1.4303367546324653e6
0.01,0.005300000000000001,-2.018897842781215e-11,935413.9633281139
0.01,0.0054,-2.8476922472789007e-11,688500.2001970543
0.01,0.0055000000000000005,-3.762297968388426e-11,540696.3795946776
0.01,0.005600000000000001,-4.767662474083778e-11,442434.87235375226
0.01,0.0057,-5.867519981337604e-11,372515.91538090655
0.01,0.0058000000000000005,-7.067207510436776e-11,320279.24394602707
0.01,0.005900000000000001,-8.371715320406382e-11,279821.60178307653
0.01,0.006,-9.786148480014267e-11,247601.59492866398
0.01,0.0061,-1.1315727917595761e-10,221366.062272209
0.01,0.006200000000000001,-1.296579030980526e-10,199613.2832331127
0.01,0.006300000000000001,-1.4741788171583223e-10,181303.93431559388
0.01,0.0064,-1.6649290235852067e-10,165695.92206931516
0.01,0.006500000000000001,-1.8693981628564377e-10,152245.28660372886
0.01,0.006600000000000001,-2.0881663825183614e-10,140544.26856060527
0.01,0.0067,-2.3218255508403294e-10,130281.23315917517
0.01,0.0068000000000000005,-2.570979164820979e-10,121213.95962555385
0.01,0.006900000000000001,-2.836242476033683e-10,113151.36034632674
0.01,0.007000000000000001,-3.118242483041022e-10,105940.68902482794
0.01,0.0071,-3.4176178928134867e-10,99458.40441765722
0.01,0.007200000000000001,-3.7350191987080755e-10,93603.52447214935
0.01,0.007300000000000001,-4.071108898064493e-10,88292.7137422947
0.01,0.0074,-4.426560871015409e-10,83456.6084618373
0.01,0.007500000000000001,-4.802061110002213e-10,79037.00942152886
0.01,0.007600000000000001,-5.19830743507961e-10,74984.73394476615
0.01,0.0077,-5.615316474952578e-10,71262.33930437006
0.01,0.0078000000000000005,-6.055889345791032e-10,67820.81950438303
0.01,0.0079,-6.518680158719591e-10,64642.54157083632
0.01,0.008,-7.005127106243405e-10,61696.43490436771
0.01,0.0081,-7.51598797007939e-10,58959.30254751967
0.01,0.008199999999999999,-8.052031977477774e-10,56410.883887703414
0.01,0.0083,-8.614040573276095e-10,54033.40458499035
0.01,0.0084,-9.202807125170321e-10,51811.21031312887
0.01,0.0085,-9.819137212571505e-10,49730.46147618928
0.01,0.0086,-1.0463848282993837e-9,47778.880677145644
0.01,0.0087,-1.1137769948480488e-9,45945.53952878768
0.01,0.0088,-1.1841744104960228e-9,44220.67982221519
0.01,0.0089,-1.2576624157525405e-9,42595.563859826296
0.01,0.009,-1.3343276560646802e-9,41062.343184114216
0.01,0.0091,-1.4142579341613102e-9,39613.95181121543
