0.01,0.0001,6.120396604573014e6,-67511.3644302393,-1.5302112786010504e6,13267.913697605227
0.01,0.0002,3.123439649441734e6,-36924.236907649014,-780931.136821529,5919.140797693573
0.01,0.00030000000000000003,2.126246403711128e6,-26817.921411020983,-531619.3139315121,3449.426773995492
0.01,0.0004,1.6290817780712137e6,-21836.180921171577,-407321.50507962453,2198.501221921309
0.01,0.0005,1.332004969842917e6,-18908.056379200676,-333048.3943871684,1434.229846945362
0.01,0.0006000000000000001,1.1350415115058445e6,-17010.257633885667,-283805.00692913815,912.5113676930702
0.01,0.0007000000000000001,995350.7316364141,-15704.39566660717,-248880.57969703682,528.6623871175349
0.01,0.0008,891517.7161449431,-14771.659106037314,-222921.090188804,230.28187867640955
0.01,0.0009000000000000001,811650.6957397884,-14090.654064140985,-202953.4390779737,-11.79936331541468
0.01,0.001,748620.0797979406,-13588.89739217794,-187195.12969976183,-215.1481927301159
0.01,0.0011,697894.4795917762,-13220.513846998812,-174513.25583918375,-391.00304206293333
0.01,0.0012000000000000001,656458.7829368862,-12955.17733624982,-164153.99473604202,-546.9255291442946
0.01,0.0013000000000000002,622231.706872631,-12772.253723123284,-155596.9998684717,-688.2155425796025
0.01,0.0014000000000000002,593733.0779197458,-12657.292945022684,-148472.20899426832,-818.7322791910372
0.01,0.0015,569884.3205310885,-12600.05709577909,-142509.96410362533,-941.3828644662726
0.01,0.0016,549883.8981247155,-12593.20303136036,-137509.8742485916,-1058.4301969061394
0.01,0.0017000000000000001,533126.8933709956,-12631.562948673025,-133320.69905776944,-1171.697100979574
0.01,0.0018000000000000002,519151.5797279845,-12711.52525380268,-129827.00395622841,-1282.6959885910355
0.01,0.0019000000000000002,507603.07447572285,-12830.734031363088,-126940.06657036423,-1392.7321214120527
0.01,0.002,498208.1448027301,-12987.813495478562,-124591.57421182489,-1502.9684675244232
0.01,0.0021,490757.5399500133,-13182.258466946727,-122729.2160666365,-1614.4780634685276
0.01,0.0022,485093.46234368713,-13414.340553334783,-121313.54268170275,-1728.2923099769987
0.01,0.0023,481100.7754339141,-13685.021493716838,-120315.77247370713,-1845.4324151844994
0.01,0.0024,478700.910703678,-13995.97550505082,-119716.2637826367,-1966.94527763282
0.01,0.0025,477847.89661174465,-14349.616081312693,-119503.52751935861,-2093.933701989446
0.01,0.0026,478526.08982088073,-14749.1199007892,-119673.66033566039,-2227.5912966425567
0.01,0.0027,480749.44138687296,-15198.579473205567,-120230.15321376862,-2369.2437774541377
0.01,0.0028,484562.1869775957,-15703.092760181067,-121184.07160861249,-2520.38512442141
0.01,0.0029,490041.0332062969,-16269.001397264381,-122554.60564077746,-2682.738166430672
0.01,0.003,497299.0855464886,-16904.107204287928,-124370.03965629375,-2858.320791270804
0.01,0.0031,506491.8389833028,-17618.047658801555,-126669.26282583257,-3049.525020173348
0.01,0.0032,517825.8943994698,-18422.777587388195,-129503.9438809748,-3259.238525079672
0.01,0.0033,531571.3362330126,-19333.224364714344,-132941.62087509982,-3490.991719435403
0.01,0.0034,548079.2335937618,-20368.155437979738,-137070.09186700964,-3749.162888301761
0.01,0.0035,567806.6052107331,-21551.50101689207,-142003.6449692031,-4039.269060659904
0.01,0.0036,591352.4118457034,-22914.121791406033,-147892.06650812298,-4368.370655719314
0.01,0.0037,619510.4842013853,-24496.517072058097,-154933.8715154531,-4745.6873588497465
0.01,0.0038,653349.2368025488,-26352.752358339974,-163407.82365121387,-5177.430515748363
0.01,0.0039,694335.0694903611,-28556.67411276257,-173645.88101997826,-5698.436466453777
0.01,0.004,744530.0454072861,-31211.722473073158,-186211.80120388127,-6306.993880009457
0.01,0.0041,806921.6098250295,-34467.444426975024,-201801.05360628827,-7063.604708465758
0.01,0.004200000000000001,885999.7399953578,-38548.235692787646,-221576.47868008655,-7998.066073295904
0.01,0.004300000000000001,988829.0239016142,-43806.78999556542,-247308.54822258133,-9187.78910487
0.01,0.0044,1.127192953808443e6,-50831.10702221628,-281912.3569286784,-10781.540874730641
0.01,0.0045000000000000005,1.3223116785325527e6,-60679.54339723941,-330686.4184257223,-13021.4230307204
0.01,0.004600000000000001,1.61663641314781e6,-75469.03537852471,-404288.9547139204,-16361.893122922973
0.01,0.0047,2.1092330151404496e6,-100139.2174588109,-527473.7249837348,-21924.310131521426
0.01,0.0048000000000000004,3.097316637917764e6,-149509.15796872557,-774565.9071644204,-33042.0496410953
0.01,0.004900000000000001,6.06699430410135e6,-297674.4568739588,-1.5171992536871773e6,-66382.0266745671
0.01,0.0051,-5.826720013268748e6,295140.1317971693,1.4570852475791164e6,66941.04838087375
0.01,0.005200000000000001,-2.8567538202890563e6,146971.87923047532,714379.7727665101,33601.81153087217
0.01,0.005300000000000001,-1.8681877877812937e6,97596.99967488743,467166.98200612183,22485.257243112785
0.01,0.0054,-1.375011377344481e6,72870.9101410053,343812.5338875748,16924.502118440185
0.01,0.0055000000000000005,-1.0797847769414955e6,58083.90723460566,269990.43656149803,13586.175961799088
0.01,0.005600000000000001,-883508.787107957,48261.85296764638,220926.00323883764,11359.157770125123
0.01,0.0057,-743853.5177142156,41224.3338803964,186002.02737049558,9767.230852843675
0.01,0.0058000000000000005,-639517.1206798835,35950.32498311037,159910.3139501093,8572.29131012163
0.01,0.005900000000000001,-558708.3175659346,31851.819820916888,139702.19838006177,7642.055629438542
0.01,0.006,-494353.4619216475,28575.99563197065,123608.75661014038,6897.149852046593
0.01,0.0061,-441952.04826201487,25898.354812145357,110504.53911045396,6287.059852333506
