# Z_1_3_1_singlePrecision.csv
# fmH: 1.0, fpH: 1.0, method: single, nCoefH: 6, nCoefInf: 10, xH: 1.*10^-12, 
# J/M^2 | omega*rp | Zphi0 | Zphi2 | Zphi0phi2 
0.9999,0.0015,4.3563825681032745e-26,4.357880979377347e-26,-0.00034383942130666867
0.9999,0.003,5.4633185010756276e-24,5.4647638542053066e-24,-0.0002644859262429522
0.9999,0.0045000000000000005,9.149779374154096e-23,9.147732828693398e-23,0.00022372160392358786
0.9999,0.006,6.7175712370420935e-22,6.713688564231969e-22,0.0005783218528796485
0.9999,0.0075,3.1368903687716056e-21,3.1364447815625503e-21,0.00014206760841939392
0.9999,0.009000000000000001,1.1006958176193314e-20,1.1010106866782793e-20,-0.0002859818371954148
0.9999,0.0105,3.1735517988181584e-20,3.173239411702951e-20,0.00009844423148686055
0.9999,0.012,7.915690347168391e-20,7.916462607228498e-20,-0.00009755115364318279
0.9999,0.0135,1.76872334858749e-19,1.7688054380770676e-19,-0.00004640956422374831
0.9999,0.015,3.6233121691277166e-19,3.6229089229024217e-19,0.00011130454391072853
0.9999,0.0165,6.917813863223113e-19,6.916452067686736e-19,0.00019689221049334904
0.9999,0.018000000000000002,1.246176795313878e-18,1.2458656283259858e-18,0.00024975966975748776
0.9999,0.0195,2.1367467590469945e-18,2.1373561879410433e-18,-0.000285132116718545
0.9999,0.021,3.517193017836274e-18,3.517276776400718e-18,-0.000023813469842925983
0.9999,0.0225,5.586963293334484e-18,5.5848743770619e-18,0.00037403102228483753
0.9999,0.024,8.599674179413653e-18,8.594969399947421e-18,0.0005473875760699798
0.9999,0.025500000000000002,1.287362889767305e-17,1.2870242861522033e-17,0.000263090307421443
0.9999,0.027,1.8805642301767522e-17,1.8809306706809086e-17,-0.0001948187191946893
0.9999,0.0285,2.6892339809252988e-17,2.6899963897783307e-17,-0.00028342374581968865
0.9999,0.03,3.773138846325433e-17,3.773263698257437e-17,-0.00003308857847938995
0.9999,0.0315,5.202409176633145e-17,5.2004317677081055e-17,0.0003802393749918753
0.9999,0.033,7.057811975951208e-17,7.054067155010805e-17,0.0005308740132623502
0.9999,0.0345,9.432440762269499e-17,9.431161926966317e-17,0.0001355967921115031
0.9999,0.036000000000000004,1.2439660887271775e-16,1.2442627778698788e-16,-0.0002384457270423468
0.9999,0.0375,1.621193770504102e-16,1.6217052845534288e-16,-0.0003154173906930735
0.9999,0.039,2.0901928436577918e-16,2.0900704791637719e-16,0.00005854563051355122
0.9999,0.0405,2.6669708954020947e-16,2.665817220901262e-16,0.00043276579196382947
0.9999,0.042,3.3690998109078143e-16,3.367540776379459e-16,0.00046295936170759333
0.9999,0.043500000000000004,4.2165395851156086e-16,4.2160260578368776e-16,0.000121803630169115
0.9999,0.045,5.233111355656549e-16,5.23449631909477e-16,-0.0002645838976267356
0.9999,0.0465,6.446736421459138e-16,6.448172671117591e-16,-0.00022273746869161393
0.9999,0.048,7.88648122779005e-16,7.88540117271799e-16,0.00013696894405401672
0.9999,0.0495,9.58156633516438e-16,9.57736217278891e-16,0.00043896871598136933
0.9999,0.051000000000000004,1.156190704131253e-15,1.155697346381793e-15,0.0004268918251011389
0.9999,0.0525,1.386153989190696e-15,1.3861565072949935e-15,-1.8166089342797065e-6
0.9999,0.054,1.652515015216736e-15,1.6529632948028143e-15,-0.00027119754412219255
0.9999,0.0555,1.9603117880559286e-15,1.9605296455033587e-15,-0.00011112173076566201
0.9999,0.057,2.3143574398882275e-15,2.31333631565218e-15,0.00044140760214772534
0.9999,0.0585,2.7175566995276685e-15,2.7163369820032827e-15,0.0004490302685102865
0.9999,0.06,3.174888424004567e-15,3.174800379090399e-15,0.00002773242524423125
0.9999,0.0615,3.69562223508496e-15,3.694197734962031e-15,0.00038560473075421875
0.9999,0.063,4.280797454781779e-15,4.280820336899194e-15,-5.345264598055621e-6
0.9999,0.0645,4.9394489490574655e-15,4.9404578996747465e-15,-0.00020422208583570356
0.9999,0.066,5.679515885143857e-15,5.680216319160017e-15,-0.00012331115168318085
0.9999,0.0675,6.508120100029331e-15,6.506758623134424e-15,0.0002092404181264218
0.9999,0.069,7.430548758969109e-15,7.42747504614248e-15,0.00041383011152440474
0.9999,0.07050000000000001,8.45224001817837e-15,8.450117466868187e-15,0.0002511860123339815
0.9999,0.07200000000000001,9.58254305723535e-15,9.58320798329332e-15,-0.0000693844961976442
0.9999,0.0735,1.083229588744762e-14,1.0834326980795912e-14,-0.00018746834499050458
0.9999,0.075,1.2212727081489952e-14,1.2212738239660645e-14,-9.136501839535072e-7
0.9999,0.0765,1.3731349286271377e-14,1.3727453425300424e-14,0.0002838007058147962
0.9999,0.078,1.5385858115863336e-14,1.5388081014728998e-14,-0.00014445588525924258
0.9999,0.0795,1.7207673895767265e-14,1.720472062741302e-14,0.0001716545370602507
0.9999,0.081,1.9193523391280892e-14,1.918639266339637e-14,0.0003716554753152579
0.9999,0.0825,2.1349287847556212e-14,2.1343910088747347e-14,0.00025195752732121157
0.9999,0.084,2.3685923523946886e-14,2.3688409039455914e-14,-0.00010492538795325856
0.9999,0.0855,2.622443910650507e-14,2.6230317301414852e-14,-0.00022409926809285885
0.9999,0.08700000000000001,2.898046271653103e-14,2.89812924393436e-14,-0.0000286296000588937
0.9999,0.0885,3.1956437255204506e-14,3.195146841452793e-14,0.0001555121227339029
0.9999,0.09,3.516704538727232e-14,3.515438594726228e-14,0.0003601098318224416
0.9999,0.0915,3.861320199609346e-14,3.8603711189291044e-14,0.00024585218652628527
