0.2,0.001,4.5031652982011416e-11,1059.4181320476584+1080.8217970535002*I
0.2,0.005,5.4608436855449814e-9,149.95188255740067+260.89918763414266*I
0.2,0.009000000000000001,3.085220000833857e-8,61.00167377141415+154.57474725819563*I
0.2,0.013000000000000001,8.99291199977013e-8,28.77507861690693+110.65824466607862*I
0.2,0.017,1.9414959872106e-7,12.494936839812212+85.98364601039155*I
0.2,0.021,3.52596185957065e-7,2.861265947550256+69.8286093006313*I
0.2,0.025,5.718397333564363e-7,-3.374604681897454+58.22515561049071*I
0.2,0.029,8.557824188945393e-7,-7.6355472415587995+49.357795595180725*I
0.2,0.033,1.2054630453051422e-6,-10.641341577545344+42.27650956799416*I
0.2,0.037000000000000005,1.6188832411892896e-6,-12.795107159590545+36.43471444996938*I
0.2,0.041,2.0908181021022985e-6,-14.340328389807896+31.495316538645568*I
0.2,0.045,2.612493700737504e-6,-15.43309224529032+27.239790581237344*I
0.2,0.049,3.1720992300519685e-6,-16.17812087202927+23.51614607628916*I
0.2,0.053000000000000005,3.751223435469314e-6,-16.650325554431134+20.229788822046945*I
0.2,0.057,4.331825381537405e-6,-16.901368928231676+17.293082510054372*I
0.2,0.061,4.885271583524546e-6,-16.974163144728948+14.661020546857157*I
0.2,0.065,5.384715828401228e-6,-16.896419705342716+12.281475756349003*I
0.2,0.069,5.791536026362718e-6,-16.695354878977376+10.128498302060747*I
0.2,0.07300000000000001,6.063968893747443e-6,-16.391071024172952+8.17559362288297*I
0.2,0.077,6.156583494628125e-6,-15.997682207134758+6.398665127584314*I
0.2,0.081,6.015006361525574e-6,-15.528838111381358+4.781466862396231*I
0.2,0.085,5.575323977911465e-6,-14.998761406230253+3.3126812929321265*I
0.2,0.089,4.769445949085416e-6,-14.416464512758703+1.9791915584499717*I
0.2,0.093,3.519839439356191e-6,-13.79091131567733+0.7710103510319659*I
0.2,0.097,1.7400823386587472e-6,-13.130055026938352-0.320514513643233*I
0.2,0.101,-6.657951631096951e-7,-12.441011573957448-1.3029864874651058*I
0.2,0.10500000000000001,-3.8033130641889333e-6,-11.731388761979906-2.182813097853069*I
0.2,0.109,-7.791819619058687e-6,-11.003421043596516-2.967230059302729*I
0.2,0.113,-0.0000127559029151992,-10.267104635934645-3.6605651085412316*I
0.2,0.117,-0.000018841585945056182,-9.523791128548552-4.268790769342945*I
0.2,0.121,-0.000026207528858244807,-8.77802865566565-4.796479941876628*I
0.2,0.125,-0.00003500924016500325,-8.03696892101842-5.248254898324347*I
0.2,0.129,-0.00004545486943970285,-7.300280938576-5.62826626166974*I
0.2,0.133,-0.00005771726429109705,-6.575174130541515-5.941179511564933*I
0.2,0.137,-0.00007205400325782641,-5.861145295662183-6.190262403503364*I
0.2,0.14100000000000001,-0.00008867361269798272,-5.1636065526477655-6.380062174879595*I
0.2,0.14500000000000002,-0.00010782751134468973,-4.484926491573946-6.514496738288093*I
0.2,0.149,-0.00012983169141744731,-3.8259422250043333-6.596554334605878*I
0.2,0.153,-0.00015497651374241322,-3.189437181756653-6.63013110850743*I
0.2,0.157,-0.0001835925629695414,-2.5772252535589204-6.618729787936261*I
0.2,0.161,-0.00021603759521706892,-1.9908882832261219-6.565767245197833*I
0.2,0.165,-0.0002526980940956347,-1.4317924826275072-6.4745821120702445*I
0.2,0.169,-0.00029399135729143647,-0.9010954027717943-6.34843336618274*I
0.2,0.17300000000000001,-0.0003403675163284611,-0.39975465432518686-6.190500702714872*I
0.2,0.177,-0.00039231179789989454,0.0714645127993418-6.003882392139195*I
0.2,0.181,-0.000450346871102716,0.5119811971511556-5.791593092329611*I
0.2,0.185,-0.0005150353497410036,0.9213909892817228-5.556561011954313*I
0.2,0.189,-0.0005869824525272599,1.2994580403639366-5.3016246988858615*I
0.2,0.193,-0.0006668388678880317,1.6461070397127158-5.0295294614990125*I
0.2,0.197,-0.0007553036436255533,1.9614149810204016-4.7429244166423175*I
0.2,0.201,-0.0008531274978622848,2.245602963124075-4.444358430973496*I
0.2,0.20500000000000002,-0.0009611160052746038,2.4990277798043268-4.136277476603099*I
0.2,0.20900000000000002,-0.0010801332862072808,2.722173447911144-3.8210209793760286*I
0.2,0.213,-0.0012111048654150206,2.915643131807713-3.500820799405265*I
0.2,0.217,-0.0013550248875808526,3.08014865982019-3.177791962573958*I
0.2,0.221,-0.0015129555670391655,3.216504487618262-2.8539404961864516*I
0.2,0.225,-0.0016860346608625891,3.3256173904617516-2.531154701726819*I
0.2,0.229,-0.0018754794220402018,3.40847813953515-2.2112052836240337*I
0.2,0.233,-0.0020825914613584913,3.466152891841715-1.8957442762986123*I
0.2,0.23700000000000002,-0.0023087619628190947,3.499774582058149-1.5863042721441862*I
0.2,0.241,-0.002555477089906189,3.5105344587353637-1.2842981550701296*I
0.2,0.245,-0.0028243236048880126,3.4996737698525093-0.9910192658678274*I
0.2,0.249,-0.003116995063560165,3.4684754334104513-0.70764182640314*I
0.2,0.253,-0.0034352979111907326,3.418256106879301-0.4352220077273609*I
0.2,0.257,-0.0037811580500222157,3.3503583414082874-0.17469929220763786*I
0.2,0.261,-0.004156627844385819,3.266142913222096+0.07310181444296013*I
0.2,0.265,-0.004563937224321013,3.1669654962223195+0.30747501502875124*I
0.2,0.269,-0.005005328501689276,3.054233973575057+0.5278065915158496*I
0.2,0.273,-0.005483317651113157,2.929304802377742+0.7336093510795701*I
0.2,0.277,-0.0060005376304408595,2.7935409492912435+0.9244934819214776*I
0.2,0.281,-0.006559785161755614,2.648290200666252+1.1001698096025778*I
